Region,Scheme,Year,Sum of Cost ($m),Sum of WATERDELIVERED (ML),$/ML,Band,
Central,Eton,2020,2.1609206,22196.765,97.35295211,,
Burnett and Lower Mary,Bundaberg,2021,13.47748091,136642.802,98.63293721,,
Central,Lower Fitzroy,2019,0.89745481,9090.757,98.72168071,,
Central,Eton,2022,1.49734275,15166.944,98.72409036,,
Central,Nogoa Mackenzie,2022,10.61131655,106341.39,99.78538507,,
North,Julius,2022,0.43102655,3732.006,115.4946026,,
Central,Lower Fitzroy,2022,2.15591245,18564.803,116.1290238,,
South,St George,2020,7.51930806,63239.633,118.9018295,,
Burnett and Lower Mary,Bundaberg,2023,10.78435445,89002.754,121.1687725,,
Burnett and Lower Mary,Three Moon Creek,2022,0.48063019,3731.637,128.7987524,,
North,Mareeba Dimbulah,2020,16.19864967,116089.654,139.5356874,,
North,Proserpine River,2023,0.47301005,3308.833,142.9537393,,
North,Julius,2021,0.82195455,5605.05,146.6453555,,
Burnett and Lower Mary,Bundaberg,2022,9.9817873,65031.472,153.4916402,,
South,Macintyre Rock,2020,0.68182282,4419.967,154.2597083,,
South,Border Rivers,2019,0.13065871,839.595,155.6211149,,
Central,Callide Valley,2020,2.18390901,13306.728,164.1206621,,
North,Bowen Broken,2019,1.835523,10961.47,167.4522669,RED,
North,Bowen Broken,2020,3.66212984,21325.771,171.7232094,RED,
South,Border Rivers,2021,0.67753103,3922.475,172.7304903,RED,
Central,Nogoa Mackenzie,2019,11.03600866,61488.266,179.4815398,RED,
North,Bowen Broken,2021,3.38318902,17890.427,189.106108,RED,
South,Upper Condamine Supply,2019,0.15079051,757.365,199.0988625,RED,
North,Bowen Broken,2022,3.56868257,16331.439,218.516113,RED,
North,Pioneer River,2021,3.98611134,17984.581,221.6404897,RED,
South,Macintyre Rock,2023,3.04500009,13421.889,226.8682218,RED,
Burnett and Lower Mary,Barker Barambah,2022,0.59523058,2562.468,232.2880052,RED,
South,Border Rivers,2020,0.37254359,1577.596,236.1463835,RED,
Central,Callide Valley,2022,2.46454827,10312.344,238.9901142,RED,
Central,Lower Fitzroy,2023,2.75120381,11486.129,239.5240215,RED,
Central,Callide Valley,2023,2.98803587,12316.821,242.597978,RED,
North,Bowen Broken,2023,1.90610755,7202.552,264.6433584,RED,
North,Burdekin Haughton,2023,57.46874625,217043.193,264.7802286,RED,
Central,Dawson Valley,2023,12.29021973,43664.293,281.4707141,RED,
Burnett and Lower Mary,Boyne River & Tarong,2019,2.87755848,10053.187,286.2334581,RED,
South,Upper Condamine Supply,2023,6.067593782,19524.855,310.7625528,RED,
Central,Dawson Valley,2019,7.96094099,25151.098,316.5245903,RED,
Central,Dawson Valley,2021,16.12475061,46832.569,344.3063439,RED,
Burnett and Lower Mary,Boyne River & Tarong,2022,9.20373402,24674.508,373.0057767,RED,
North,Mareeba Dimbulah,2022,35.41201496,93805.13,377.5061658,RED,
Central,Dawson Valley,2020,16.03606871,35901.524,446.6681891,RED,
Central,Awoonga Callide Pipeline,2021,7.56992388,15986.669,473.5147691,RED,
Central,Awoonga Callide Pipeline,2020,9.71745463,19711.523,492.9834508,RED,
Central,Awoonga Callide Pipeline,2019,4.95255078,10014.257,494.5499981,RED,
Burnett and Lower Mary,Lower Mary River,2023,1.87332937,3512.136,533.3874799,RED,
Central,Dawson Valley,2022,16.05974199,25990.997,617.8963427,RED,
South,Cunnamulla,2023,0.48309487,778.44,620.5935846,RED,
South,Macintyre Rock,2021,2.52537993,3958.687,637.9337215,RED,
South,Macintyre Rock,2022,2.54703995,3804.51,669.4791051,RED,
Central,Callide Valley,2021,7.20571863,9764.37,737.9604245,RED,
Central,Awoonga Callide Pipeline,2022,6.58762102,7900.313,833.8430414,RED,
Burnett and Lower Mary,Boyne River & Tarong,2020,11.59298228,13238.24,875.7193011,RED,
Burnett and Lower Mary,Barker Barambah,2021,3.86739458,4216.73,917.1548996,RED,
Burnett and Lower Mary,Barker Barambah,2019,0.26605828,265.979,1000.298069,RED,
Burnett and Lower Mary,Boyne River & Tarong,2023,13.92452247,13870.723,1003.878635,RED,
South,Upper Condamine Supply,2021,3.93279795,3726.776,1055.281549,RED,
Burnett and Lower Mary,Boyne River & Tarong,2021,9.50747273,8720.325,1090.265871,RED,
South,Chinchilla Weir,2020,3.20483335,2696.907,1188.33662,RED,
South,Chinchilla Weir,2023,3.35689909,2622.056,1280.254537,RED,
Burnett and Lower Mary,Lower Mary River,2022,2.24021372,1353.838,1654.713282,RED,
South,Chinchilla Weir,2021,3.25463017,1884.683,1726.884664,RED,
Central,Awoonga Callide Pipeline,2023,5.14462202,2440.752,2107.80203,RED,
South,Chinchilla Weir,2022,3.01566087,986.685,3056.356254,RED,
South,Chinchilla Weir,2019,1.45543474,313.963,4635.688728,RED,
