Fiscal Year,Region,Scheme,$/ML,Cost ($MM),Water (ML)
2020,Central,Dawson Valley,462.7079794,16126385.95,34852.189
2021,Central,Dawson Valley,356.5236132,16078782.85,45098.788
2022,Central,Dawson Valley,397.0404285,16187641.61,40770.764
2023,Central,Dawson Valley,507.101859,16070261.26,31690.401
2024,Central,Dawson Valley,212.3515558,5354840.94,25216.867
2020,Central,Eton,88.29432866,2973993.15,33682.72
2021,Central,Eton,42.6525994,896381.74,21015.876
2022,Central,Eton,59.04090782,1388961.15,23525.403
2023,Central,Eton,90.48518999,1064196.41,11761.001
2024,Central,Eton,185.3151319,221220.68,1193.754
2020,Central,Eungella Water PL (External),,2318160.46,
2021,Central,Eungella Water PL (External),,956634.27,
2022,Central,Eungella Water PL (External),,571590.88,
2023,Central,Eungella Water PL (External),,801081.68,
2024,Central,Eungella Water PL (External),,365967.65,
2020,Central,Eungella Water PL (Subsidiary),,10388972,
2021,Central,Eungella Water PL (Subsidiary),,6321212.14,
2022,Central,Eungella Water PL (Subsidiary),,6328107.78,
2023,Central,Eungella Water PL (Subsidiary),,6804876.1,
2024,Central,Eungella Water PL (Subsidiary),,2279948.53,
2020,North,Julius,65.49122175,459358.18,7014.042
2021,North,Julius,87.52358434,597494.54,6826.669
2022,North,Julius,203.4818027,694041.43,3410.828
2023,North,Julius,61.19916477,432656.92,7069.654
2024,North,Julius,104679.3573,148225.97,1.416
2020,Central,Lower Fitzroy,85.29622797,1512655.76,17734.146
2021,Central,Lower Fitzroy,105.522193,1762970.57,16707.107
2022,Central,Lower Fitzroy,98.48746005,1723591.81,17500.622
2023,Central,Lower Fitzroy,178.920913,3447604.17,19268.872
2024,Central,Lower Fitzroy,353.1558611,521240.04,1475.949
2020,Burnett and Lower Mary,Lower Mary River,48.09475093,656130.86,13642.463
2021,Burnett and Lower Mary,Lower Mary River,63.53354484,666944.34,10497.515
2022,Burnett and Lower Mary,Lower Mary River,773.1245003,1647590.16,2131.08
2023,Burnett and Lower Mary,Lower Mary River,721.2661692,2424195.79,3361.028
2024,Burnett and Lower Mary,Lower Mary River,433.3753868,302908.16,698.951
2020,South,Macintyre Brook,345.388442,665005.38,1925.384
2021,South,Macintyre Brook,183.0738164,1082409.66,5912.422
2022,South,Macintyre Brook,650.7528349,1982759.29,3046.87
2023,South,Macintyre Brook,284.8419406,3978701.28,13968.102
2024,South,Macintyre Brook,846.0991093,1758490.93,2078.351
2020,South,Maranoa River,,7423.77,0
2021,South,Maranoa River,,19633.83,0
2022,South,Maranoa River,,8642.23,0
2023,South,Maranoa River,,3929.98,0
2024,South,Maranoa River,,2113.6,0
2020,North,Mareeba Dimbulah,109.3319319,16436373.13,150334.608
2021,North,Mareeba Dimbulah,22.04176138,2674107.35,121320.039
2022,North,Mareeba Dimbulah,306.2663943,35363984.86,115468.055
2023,North,Mareeba Dimbulah,59.45239963,5772655.77,97097.103
2024,North,Mareeba Dimbulah,33.13867556,849227.01,25626.462
2020,Central,Nogoa Mackenzie,87.37768726,10845031.07,124116.71
2021,Central,Nogoa Mackenzie,-71.34512437,-5843467.69,81904.233
2022,Central,Nogoa Mackenzie,87.25624195,10094969.47,115693.379
2023,Central,Nogoa Mackenzie,40.26716093,3902948.29,96926.334
2024,Central,Nogoa Mackenzie,56.68444628,2003467.71,35344.223
2020,North,North West Pipeline PL (External),,1177204.37,
2021,North,North West Pipeline PL (External),,1060772.88,
2022,North,North West Pipeline PL (External),,1022249.19,
2023,North,North West Pipeline PL (External),,1186392.72,
2024,North,North West Pipeline PL (External),,467984.25,
2020,North,North West Queensland Water PL (Subsidiary),,8208364.63,
2021,North,North West Queensland Water PL (Subsidiary),,4386297.28,
2022,North,North West Queensland Water PL (Subsidiary),,4434576.07,
2023,North,North West Queensland Water PL (Subsidiary),,5308770.35,
2024,North,North West Queensland Water PL (Subsidiary),,1765501.34,
2020,North,Pioneer River,23.34895221,632510.11,27089.443
2021,North,Pioneer River,94.19548117,2016885.29,21411.699
2022,North,Pioneer River,40.83301445,826572.34,20242.746
2023,North,Pioneer River,32.96075966,535196.94,16237.397
2024,North,Pioneer River,121.2095717,263330.34,2172.521
2020,North,Proserpine River,18.12240262,502942.16,27752.51
2021,North,Proserpine River,27.97359708,721738.61,25800.708
2022,North,Proserpine River,33.61555595,638408.15,18991.45
2023,North,Proserpine River,88.97740179,617563.94,6940.683
2024,North,Proserpine River,276.4389276,170589.08,617.095
2020,South,St George,151.7603945,7553927.21,49775.353
2021,South,St George,6.755713234,604204.82,89436.126
2022,South,St George,19.78460947,1136746.54,57456.102
2023,South,St George,17.19096115,1323278.12,76975.226
2024,South,St George,31.0412932,213817.27,6888.156
2020,Burnett and Lower Mary,Three Moon Creek,79.14829145,698391.86,8823.84
2021,Burnett and Lower Mary,Three Moon Creek,36.27370401,323039.57,8905.613
2022,Burnett and Lower Mary,Three Moon Creek,101.7599546,562677.09,5529.455
2023,Burnett and Lower Mary,Three Moon Creek,75.48936801,305380.16,4045.34
2024,Burnett and Lower Mary,Three Moon Creek,36.78104485,56027.83,1523.28
2020,Burnett and Lower Mary,Upper Burnett Supply,23.99127588,635528.73,26489.993
2021,Burnett and Lower Mary,Upper Burnett Supply,21.01737794,515134.42,24509.928
2022,Burnett and Lower Mary,Upper Burnett Supply,57.88326065,885282.68,15294.278
2023,Burnett and Lower Mary,Upper Burnett Supply,47.73833494,709105.8,14854.012
2024,Burnett and Lower Mary,Upper Burnett Supply,15.0333473,69278.46,4608.319
2020,South,Upper Condamine Supply,-518.4785334,-2735186.84,5275.41
2021,South,Upper Condamine Supply,1327.25303,3888479.748,2929.72
2022,South,Upper Condamine Supply,-928.7065535,-4402747.948,4740.731
2023,South,Upper Condamine Supply,293.953509,6069499.73,20647.822
2024,South,Upper Condamine Supply,1095.621932,465904.4618,425.242
